challenge,knowledge_frequency
20855,28
20857,38
20860,25
21976,26
20911,37
20960,65
20582,41
20600,36
20598,56
15142,54
15143,50
12606,64
12082,23
12090,66
11850,33
11851,37
11822,26
11296,37
11825,26
11827,30
11829,35
11830,28
11832,30
11852,27
11834,35
11844,35
11847,34
11848,26
11849,26
11321,54
11322,31
11323,34
11324,35
11325,39
11326,55
11283,51
11282,49
11243,56
11241,59
11242,61
11218,57
10560,27
10561,23
10562,28
10563,25
10564,24
10565,24
10566,36
10567,30
10568,39
10569,34
10012,47
10055,46
10058,45
9501,19
9503,27
9506,18
38607,41
38611,41
38613,38
9236,45
9238,47
9147,25
8863,24
8865,19
8867,23
8869,18
7241,33
7242,32
7243,31
7244,39
7245,35
7246,38
7235,39
7236,47
7237,39
7227,30
7228,32
7229,51
7230,38
7231,31
7232,40
7233,51
7234,36
7214,42
7216,43
7215,47
7217,32
7109,34
7110,36
7111,40
6951,33
6952,30
7038,29
7039,32
7040,30
7041,34
6626,41
7158,32
7159,42
7031,18
7032,21
7033,29
7119,23
7120,22
7115,30
7116,23
7117,20
7118,22
7123,26
7124,30
7121,32
7122,23
7127,24
7128,26
7131,25
7132,22
7129,22
7130,29
7133,25
7134,38
7022,30
7023,28
7024,26
7025,45
7027,39
7028,29
7029,44
6955,35
6956,44
6981,59
6982,43
6983,35
6975,40
6976,21
6977,32
6936,30
6937,44
6934,40
6935,30
6744,29
6745,31
6746,28
6747,29
6891,51
6892,51
6893,25
6894,30
6895,38
6752,54
12312,40
12312,33
12312,42
12312,38
12312,40
6825,33
6826,29
6827,32
6830,19
6831,25
6832,26
6833,27
44949,26
44950,28
44951,29
44952,29
43886,28
43887,23
43889,28
44953,19
43894,21
45706,18
6049,42
6050,47
6051,47
6208,38
6209,34
6210,35
6094,25
6095,24
6184,33
6185,44
5940,42
5958,40
5959,41
5083,25
5084,25
5085,20
43106,23
5764,39
5765,38
5766,35
5767,37
5768,36
5516,23
5517,26
3410,28
3403,28
3404,25
3373,17
3374,24
5070,27
38569,17
38570,15
38605,31
36284,31
36285,32
36286,23
37472,30
3359,33
37474,23
2972,37
2973,33
2974,27
3056,26
3050,38
3040,33
3034,21
3020,37
27658,16
27682,16
27665,26
27681,29
2889,28
2891,22
2892,20
2794,28
2795,17
2796,31
2791,20
2792,19
2793,20
10784,24
10785,44
10787,35
2848,34
2849,29
2850,33
2851,34
29107,37
29116,28
29122,44
2772,23
2773,26
2781,24
2803,32
2687,14
2688,37
2690,12
2684,33
2685,21
2686,18
29130,25
29124,32
29127,34
2787,23
2788,23
2577,23
2583,28
2789,30
2677,23
2678,21
2679,21
28627,28
28633,30
28697,34
28720,29
28549,25
28561,36
28572,35
11749,40
2718,33
2658,13
2659,31
2660,39
28510,30
28512,18
28524,49
2668,19
2669,25
2670,26
2671,27
2617,23
2618,17
2619,49
2620,40
2447,33
2448,37
2449,35
2601,30
2602,29
2603,24
2613,20
2550,31
2551,33
2552,33
2521,28
2522,26
2523,31
2524,34
2525,31
2526,32
2527,35
2519,25
2520,29
2516,21
2406,41
2407,44
2408,38
2409,37
2274,36
2275,37
2276,39
7900,39
2278,40
2279,41
2234,22
2236,29
2237,27
2238,19
2239,30
2204,34
2205,36
2219,35
2220,34
2184,22
2187,22
2193,33
2152,16
2153,17
2154,34
2155,16
2104,12
2077,28
2078,21
2079,32
2082,28
2083,59
2084,59
1765,29
1766,29
1767,34
1768,35
1769,30
1770,22
1771,37
1772,34
1773,27
1774,26
2072,23
2074,25
2062,23
2063,26
2064,26
26930,19
26946,20
26957,25
2014,40
2016,38
2017,41
2018,44
2019,24
2027,50
2030,43
27225,16
27231,30
27897,46
27899,45
27902,45
1876,29
1877,16
1878,21
1879,21
1880,19
1838,45
1839,42
1865,42
1866,41
1867,43
1868,38
1869,41
1870,50
1871,47
1872,35
1857,48
1573,27
1574,36
1575,29
1576,27
1702,25
1703,29
1704,30
1705,28
1821,26
1815,32
1816,36
1822,40
1823,33
1804,29
1805,34
1807,31
7956,29
1753,31
1754,25
1755,25
1756,33
1740,41
1735,34
1736,31
1739,35
1737,49
1747,31
1742,50
1744,46
1748,46
1746,54
1743,41
1684,31
9561,38
1722,36
1723,33
1724,26
1761,17
1762,25
1763,24
1583,28
1584,36
1585,37
1586,27
1641,24
1590,33
1593,44
1676,32
1675,37
1683,39
1677,41
1682,41
1652,27
1654,36
1601,40
1602,39
1603,37
1604,36
1640,41
1643,35
1644,37
1645,33
1646,33
1589,39
1591,34
7635,38
1594,41
1569,25
1570,29
1571,29
1572,38
1565,30
1566,28
1567,26
1568,25
1456,33
1457,29
1458,32
1626,48
1374,17
1375,24
1383,24
26968,12
26969,15
26984,12
26989,14
26991,14
26972,18
26976,10
26975,12
26056,17
34098,25
26058,18
26974,21
26973,23
26960,23
117,24
8028,30
119,24
120,17
121,18
122,20
47,13
48,33
49,25
44,13
45,9
46,24
50,19
51,36
52,21
42,13
41,16
43,10
40,23
158,29
159,31
160,30
161,34
155,31
156,28
157,29
152,18
153,25
154,30
162,20
163,18
164,20
148,17
149,15
150,19
151,23
137,20
138,19
139,26
140,26
144,29
145,31
146,31
141,18
142,19
143,27
37,16
38,24
39,22
10979,27
10980,35
10981,30
23639,36
23619,39
10977,28
10983,36
10984,38
23645,36
10988,41
23885,43
23886,42
22071,43
22099,43
10964,36
10965,38
27084,44
27102,29
27086,50
27087,43
27101,38
27098,48
27388,36
27375,38
27378,43
27386,44
27403,15
27404,9
27405,19
27406,18
27407,25
27408,20
27409,20
27415,25
27417,26
27418,23
10918,33
10925,16
10926,36
10927,23
28775,36
26763,33
31250,48
26777,51
26785,28
26788,36
22098,38
10971,33
26807,35
26811,36
26818,41
26821,47
41709,40
26841,38
26620,35
26694,39
26704,27
26743,35
102,34
103,37
26583,20
26594,26
26608,27
26616,30
26352,19
26358,23
26532,23
26577,32
28,11
29,19
30,31
1935,9
1950,11
1949,20
1946,10
1947,11
1948,12
1943,10
1944,11
1945,12
1939,15
1940,15
1941,15
1942,16
1936,11
1937,16
1938,16
1925,9
1926,12
1927,15
1952,13
1953,13
1951,7
1955,20
1956,14
1932,9
1933,8
1934,10
13658,33
1930,9
1931,9
